nom_ent,ambito,rubro,mean,se,cv,confianza
Durango,Urbano,Alimentos,4934.239739775641,106.68543812100468,0.02162145411399399,Alta
Durango,Urbano,Gasto corriente,15591.545130582323,427.1485411249046,0.02739616487958376,Alta
Durango,Urbano,NANV,9499.164231643,367.9645620853372,0.03873651966765639,Alta
Durango,Urbano,Vivienda,1158.141159163682,38.27847569938024,0.033051649530374975,Alta
Guanajuato,Rural,Alimentos,4932.031683805808,148.14727980543648,0.030037779418951027,Alta
Guanajuato,Rural,Gasto corriente,11379.52992196845,404.92871647211444,0.035583958146670897,Alta
Guanajuato,Rural,NANV,5803.790609920238,251.2264130591047,0.04328660869151468,Alta
Guanajuato,Rural,Vivienda,643.707628242402,38.8363837585365,0.06033233420672128,Alta
Guanajuato,Urbano,Alimentos,5956.395731856338,118.10604504998399,0.019828441622560845,Alta
Guanajuato,Urbano,Gasto corriente,16404.254601870536,441.8520548939363,0.026935210749749826,Alta
Guanajuato,Urbano,NANV,9039.024936773849,350.49150068499944,0.03877536605293343,Alta
Guanajuato,Urbano,Vivienda,1408.8339332403505,52.98211090330708,0.03760706613692006,Alta
Guerrero,Rural,Alimentos,4129.932521948329,175.7090284206199,0.042545254065731744,Alta
Guerrero,Rural,Gasto corriente,9021.566841771624,390.46689761854486,0.043281494718922495,Alta
Guerrero,Rural,NANV,4516.267798716172,251.90739553935617,0.055777780850587565,Alta
Guerrero,Rural,Vivienda,375.366521107123,28.231799270970573,0.07521128732445938,Alta
Guerrero,Urbano,Alimentos,5522.559676416874,133.80640367052888,0.024229055277016878,Alta
Guerrero,Urbano,Gasto corriente,13092.022533487989,351.5568612815415,0.026852754063193582,Alta
Guerrero,Urbano,NANV,6584.854059728122,243.81354475316854,0.03702641585396582,Alta
Guerrero,Urbano,Vivienda,984.6087973429928,43.25998010465177,0.04393621123576246,Alta
Hidalgo,Rural,Alimentos,3949.6084184898345,135.90621240475676,0.03441004727671753,Alta
Hidalgo,Rural,Gasto corriente,9509.368721405228,542.0528810762104,0.05700198372328017,Alta
Hidalgo,Rural,NANV,5006.8413372826935,410.70282163899924,0.08202832763658043,Alta
Hidalgo,Rural,Vivienda,552.9189656327012,31.02730212421405,0.05611546004523417,Alta
Hidalgo,Urbano,Alimentos,5282.983385136171,123.57248997175174,0.02339066413107158,Alta
Hidalgo,Urbano,Gasto corriente,13969.133660638647,388.58996773558744,0.02781775714771289,Alta
Hidalgo,Urbano,NANV,7565.892152351068,279.01091682642203,0.036877464178460516,Alta
Hidalgo,Urbano,Vivienda,1120.2581231514082,44.505068976851184,0.039727512844676884,Alta
Jalisco,Rural,Alimentos,5569.392832597255,179.7661299793455,0.03227750948490961,Alta
Jalisco,Rural,Gasto corriente,12664.587332480201,499.2246492078562,0.03941894323927326,Alta
Jalisco,Rural,NANV,6301.162662297465,346.52062524480124,0.05499312489077316,Alta
Jalisco,Rural,Vivienda,794.0318375854819,54.287710172336254,0.06836968947922303,Alta
Jalisco,Urbano,Alimentos,7344.474142048657,154.60353765713063,0.02105032091705421,Alta
Jalisco,Urbano,Gasto corriente,19421.866303441497,543.0006131019504,0.02795820981456001,Alta
Jalisco,Urbano,NANV,10165.911572394662,409.07151879678247,0.040239531485558894,Alta
Jalisco,Urbano,Vivienda,1911.4805889981774,72.69209878656456,0.03802921107593516,Alta
Michoacán,Rural,Alimentos,5168.674041692083,184.95653833112453,0.03578413667397273,Alta
Michoacán,Rural,Gasto corriente,12566.315530914044,609.6797226206685,0.04851698344839522,Alta
Michoacán,Rural,NANV,6795.047379931127,453.666122575511,0.06676423241954044,Alta
Michoacán,Rural,Vivienda,602.5941092908344,45.66216809389715,0.07577599480292777,Alta
Michoacán,Urbano,Alimentos,6352.782115817741,201.51778348592916,0.03172118605865163,Alta
Michoacán,Urbano,Gasto corriente,16278.795987151043,729.4271675028093,0.044808422445895314,Alta
Michoacán,Urbano,NANV,8671.402696807025,481.77399677137623,0.055558946299284956,Alta
Michoacán,Urbano,Vivienda,1254.6111745262772,88.6674452641979,0.07067324687083026,Alta
Morelos,Rural,Alimentos,4841.992767009247,125.56272682974927,0.02593203519122677,Alta
Morelos,Rural,Gasto corriente,11511.356700803915,341.40633739459247,0.029658218945708612,Alta
