nom_ent,cve_ent,componente,codigo,nombre_nodo,serie_api
Ciudad de México,9,comidas_fuera,25,Alimentos cocinados fuera de casa,898527
Ciudad de México,9,nanv,general,Índice general,898390
Ciudad de México,9,vivienda,3,Vivienda,898598
Durango,10,alimentos,001,Arroz,898842
Durango,10,alimentos,004,Galletas,898837
Durango,10,alimentos,008,Pan blanco,898831
Durango,10,alimentos,009,Pan de caja,898832
Durango,10,alimentos,010,Pan dulce,898833
Durango,10,alimentos,011,Pasta para sopa,898839
Durango,10,alimentos,014,Tortilla de maíz,898828
Durango,10,alimentos,015,Tortillas de harina de trigo,898840
Durango,10,alimentos,016,Tostadas,898829
Durango,10,alimentos,017,Carne de cerdo,898848
Durango,10,alimentos,018,Carne de res,898851
Durango,10,alimentos,019,"Carnes secas, procesadas y otros embutidos",898854
Durango,10,alimentos,020,Chorizo,898855
Durango,10,alimentos,021,Jamón,898856
Durango,10,alimentos,022,Pollo,898846
Durango,10,alimentos,026,Atún y sardina en lata,898864
Durango,10,alimentos,030,Crema y otros productos a base de leche,898875
Durango,10,alimentos,031,Huevo,898885
Durango,10,alimentos,034,Leche pasteurizada y fresca,898868
Durango,10,alimentos,037,Queso fresco,898877
Durango,10,alimentos,039,Queso Oaxaca y asadero,898879
Durango,10,alimentos,041,Yogurt,898881
Durango,10,alimentos,042,Aceites y grasas vegetales comestibles,898888
Durango,10,alimentos,045,Aguacate,898891
Durango,10,alimentos,048,Limón,898894
Durango,10,alimentos,049,Manzana,898895
Durango,10,alimentos,055,Plátanos,898901
Durango,10,alimentos,060,Calabacita,898906
Durango,10,alimentos,061,Cebolla,898907
Durango,10,alimentos,062,Chayote,898908
Durango,10,alimentos,065,Chile serrano,898910
Durango,10,alimentos,068,Frijol,898924
Durango,10,alimentos,069,Frijol procesado,898929
Durango,10,alimentos,070,Jitomate,898912
Durango,10,alimentos,071,Lechuga y col,898913
Durango,10,alimentos,072,Nopales,898914
Durango,10,alimentos,073,Papa y otros tubérculos,898915
Durango,10,alimentos,074,Papas fritas,898951
Durango,10,alimentos,075,Pepino,898916
Durango,10,alimentos,076,Tomate verde,898917
Durango,10,alimentos,078,Zanahoria,898918
Durango,10,alimentos,081,Otros chiles frescos,898920
Durango,10,alimentos,082,Azúcar,898936
Durango,10,alimentos,087,"Cilantro, epazote y perejil",898921
Durango,10,alimentos,095,Jugos o néctares envasados,898933
Durango,10,alimentos,096,Café soluble,898938
