nom_ent,cve_ent,ambito,date,componente,valor
Aguascalientes,1,Urbano,2021-03-01,Alimentos,2346.08399500635
Aguascalientes,1,Urbano,2021-03-01,Vivienda,4767.38171615441
Aguascalientes,1,Urbano,2021-03-01,NANV,3709.67854745672
Aguascalientes,1,Urbano,2021-04-01,Alimentos,2382.82996861055
Aguascalientes,1,Urbano,2021-04-01,Vivienda,4757.39933571607
Aguascalientes,1,Urbano,2021-04-01,NANV,3724.85769885878
Aguascalientes,1,Urbano,2021-05-01,Alimentos,2395.41320398291
Aguascalientes,1,Urbano,2021-05-01,Vivienda,4749.80212582495
Aguascalientes,1,Urbano,2021-05-01,NANV,3739.00944044978
Aguascalientes,1,Urbano,2021-06-01,Alimentos,2379.03268129556
Aguascalientes,1,Urbano,2021-06-01,Vivienda,4786.59559000695
Aguascalientes,1,Urbano,2021-06-01,NANV,3762.30844358438
Aguascalientes,1,Urbano,2021-07-01,Alimentos,2419.72202278253
Aguascalientes,1,Urbano,2021-07-01,Vivienda,4834.69652937575
Aguascalientes,1,Urbano,2021-07-01,NANV,3794.48957024683
Aguascalientes,1,Urbano,2021-08-01,Alimentos,2446.03345807367
Aguascalientes,1,Urbano,2021-08-01,Vivienda,4790.35002512757
Aguascalientes,1,Urbano,2021-08-01,NANV,3806.0562161842
Aguascalientes,1,Urbano,2021-09-01,Alimentos,2432.32676262105
Aguascalientes,1,Urbano,2021-09-01,Vivienda,4826.26009281061
Aguascalientes,1,Urbano,2021-09-01,NANV,3824.25131251549
Aguascalientes,1,Urbano,2021-10-01,Alimentos,2434.97816000563
